7030,"Conduzir motocicleta, motoneta ouciclomotor sem capacete de segurança","244, 1",Condutor,Gravíssima,ESTAD/MUNIC/RODOV
7030,"Conduzir motocicleta, motoneta ouciclomotor sem vestuário de acordo com normas apr pelo Contran","244, 1",Condutor,Gravíssima,ESTAD/MUNIC/RODOV
6742,Conduzir o veículo sem portar aautorização para condução de escolares,"230,XX",Proprietário,Gravíssima,ESTADUAL/RODOV
6750,Conduzir o veíc de carga c/ falta inscrição da tara e demais previstas noCTB,"230, XXI",Proprietário,Média,ESTADUAL/RODOV
6769,"Conduzir veíc c/ defeito no sist deiluminação, sinalizou lâmpadas queimadas","230,XXII",Proprietário,Média,ESTADUAL/RODOV
7560,Conduzir veíc de transp passag ou carga em desacordo c/ as cond do art 67-CCTB,"230, XXIII",Condutor,Média,MUNICIPAL/RODOV
6777,"Transitar com o veículo danificando a via, suas instalações e equipamentos","231, 1",Condutor,Gravíssima,MUNICIPAL/RODOV
6785,Transitar com veículo derramando acarga que esteja transportando,"231, 11, a",Condutor,Gravíssima,MUNICIPAL/RODOV
6785,Transitar com veículo lançando a cargaque esteja transportando,"231, li, a",Condutor,Gravíssima,MUNICIPAL/RODOV
6785,Transitar com veículo arrastando acarga que esteja transportando,"231, 11, a",Condutor,Gravíssima,MUNICIPAL/RODOV
6793,Transitar com veícderramando/lançando combustível/lubrif que esteja utilizando,"231, li, b",Condutor,Gravíssima,MUNICIPAL/RODOV
6807,Transitar c/veícderraman/I ançando/arrastando objeto possa acarretar risco acid,"231, li, c",Condutor,Gravíssima,MUNICIPAL/RODOV
6815,"Transitar com veículo produzindofumaça, gases ou partículas em desac c/ Contran","231, Ili",Proprietário,Grave,MUNICIPAL/RODOV
6823,Transitar c/ veíc e/ou carga c/ dimensões superiores limite legal s/ autorização,"231, IV",Proprietário,Grave,MUNICIPAL/RODOV
6823,Transitar c/ veíc e/ou carga c/dimensões superiores est p/sinalização s/autoriz,"231, IV",Condutor,Grave,MUNICIPAL/RODOV
6831,Transitar com o veículo com excesso depeso PBT/PBTC,"231, V",Emb/Transp,Média,MUNICIPAL/RODOV
6831,Transitar com o veículo com excesso depeso - Por Eixo,"231, V",Emb/Transp,Média,MUNICIPAL/RODOV
6831,Transitar com o veículo com excesso depeso - PBT/PBTC e Por Eixo,"231, V",Emb/Transp,Média,MUNICIPAL/RODOV
6840,Transitar em desacordo c/ autorização expedida p/veículo c/ dimensõesexcedentes,"231, VI",Proprietário,Grave,MUNICIPAL/RODOV
6840,"Transitar com autorização vencida,expedida p/ veículo c/ dimensões excedentes","231, VI",Proprietário,Grave,MUNICIPAL/RODOV
6858,Transitar com o veículo com lotaçãoexcedente,"231, VII",Condutor,Gravíssima,ESTAD/MUNIC/RODOV
6866,Transitar efetuando transporte remunerado de pessoas qdo filicenciado p/esse fim,"231, VIII",Proprietário,Gravíssima,ESTAD/MUNIC/RODOV
6866,Transitar efetuando transporte remunerado de bens qdo não licenciadop/ esse fim,"231, VIII",Proprietário,Gravíssima,ESTAD/MUNIC/RODOV
6874,Transitar com o veículo desligado emdeclive,"231, IX",Condutor,Média,MUNICIPAL/RODOV
6874,Transitar com o veículo desengrenadoem declive,"231, IX",Condutor,Média,MUNICIPAL/RODOV
6564,Conduzir o veículo transportandopassageiros em compartimento de carga,"230, li",Condutor,Gravíssima,MUNICIPAL/RODOV
6572,Conduzir o veículo com dispositivoantirradar,"230, Ili",Proprietário,Gravíssima,ESTADUAL/RODOV
6580,Conduzir o veículo sem qualquer umadas placas de identificação,"230, IV",Proprietário,Gravíssima,ESTADUAL/RODOV
6599,Conduzir o veículo que não estejaregistrado,"230, V",Proprietário,Gravíssima,ESTADUAL/RODOV
6599,Conduzir o veículo registrado que não esteja devidamente licenciado,"230, V",Proprietário,Gravíssima,ESTADUAL/RODOV
6602,Conduzir o veículo com qualquer uma das placas sem legibilidade evisibilidade,"230, VI",Proprietário,Gravíssima,ESTADUAL/RODOV
6610,Conduzir o veículo com a cor alterada,"230, VII",Proprietário,Grave,ESTADUAL/RODOV
6610,Conduzir o veículo com característicaalterada,"230, VII",Proprietário,Grave,ESTADUAL/RODOV
6629,"Conduzir veículos/ ter sido submetido àinspeção seg veicular, qdo obrigatória","230, VIII",Proprietário,Grave,ESTADUAL/RODOV
6637,Conduzir o veículo sem equipamento obrigatório,"230, IX",Proprietário,Grave,ESTADUAL/RODOV
6637,Conduzir o veículo com equipamentoobrigatório ineficiente/inoperante,"230, IX",Proprietário,Grave,ESTADUAL/RODOV
6645,Conduzir o veículo com equipobrigatório em desacordo com o estab pelo Contran,"230,X",Proprietário,Grave,ESTADUAL/RODOV
6653,Conduzir o veículo com descarga livre,"230, XI",Proprietário,Grave,ESTADUAL/RODOV
6653,Conduzir o veículo com silenciador de motor defeituoso/deficiente/inoperante,"230, XI",Proprietário,Grave,ESTADUAL/RODOV
6661,Conduzir o veículo com equipamento ouacessório proibido,"230, XII",Proprietário,Grave,ESTADUAL/RODOV
6670,Conduzir o veículo e/ equip do sistema de iluminação e de sinalizaçãoalterados,"230, XIII",Proprietário,Grave,ESTADUAL/RODOV
6688,Conduzir veíc e/ registrador instan inalt de velocidade/tempoviciado/defeituoso,"230, XIV",Proprietário,Grave,ESTADUAL/RODOV
6696,Conduzir e/inser/adesivo/legenda/símbolo afixado para-brisa e extensão traseira,"230,XV",Proprietário,Grave,ESTADUAL/RODOV
6696,Conduzir e/ inser/adesivo/legenda/símbolo pintadopara-brisa e extensão traseira,"230,XV",Proprietário,Grave,ESTADUAL/RODOV
6700,"Conduzir veíc com vidrototal/parcialmente coberto por película, painéis/pintura","230, XVI",Proprietário,Grave,ESTADUAL/RODOV
6718,Conduzir o veículo com cortinas oupersianas fechadas,"230, XVII",Proprietário,Grave,ESTADUAL/RODOV
6726,"Conduzir o veículo em mau estado deconservação, comprometendo a segurança","230, XVIII",Proprietário,Grave,ESTADUAL/RODOV
6726,Conduzir o veículo reprovado na avaliação de inspeção de segurança,"230, XVIII",Proprietário,Grave,ESTADUAL/RODOV
6726,Conduzir o veículo reprovado na avaliação de emissão de poluentes e ruído,"230, XVIII",Proprietário,Grave,ESTADUAL/RODOV
6734,Conduzir o veículo sem acionar olimpador de para-brisa sob chuva,"230, XIX",Condutor,Grave,ESTADUAL/RODOV
6394,Deixar de reduzir veloc na próximestação embarque/desembarque passageiros,"220, XIV",Condutor,Gravíssima,MUNICIPAL/RODOV
6394,Deixar de reduzir veloc onde hajaintensa movimentação de pedestres,"220, XIV",Condutor,Gravíssima,MUNICIPAL/RODOV
6408,Portar no veículo placas de identificaçãoem desacordo c/ especif/modelo Contran,221,Proprietário,Média,ESTADUAL/RODOV
6416,Confec/distribuir/colocar veíc próprio/terceiro placa identif desacordoContran,"221,§único",PF ou PJ,Média,ESTADUAL/RODOV
6424,Deixar de manter ligado em emerg sistilum vermelha intermitente ainda q parado,222,Condutor,Média,MUNICIPAL/RODOV
6432,Transitar com farol desreguladoperturbando visão outro condutor,223,Condutor,Grave,ESTADUAL/RODOV
6432,Transitar com o facho de luz altaperturbando visão outro condutor,223,Condutor,Grave,ESTADUAL/RODOV
6440,Fazer uso do facho de luz alta dos faróisem vias providas de iluminação pública,224,Condutor,Leve,MUNICIPAL/RODOV
